111,i'll,11586,miss,3759,darling,2179,i'd,1900,forget,1549,lie,1454,won't,1328,turn,1133,dose,979,dear,955,swear,940,arms,889,sit,873,heavy,844,whisper,668,atmosphere,651,awake,633,takes,578,stars,509,kiss,471
112,things,20470,learn,8043,fall,6242,change,4806,wrong,4677,reason,4345,eventually,3286,trust,2986,they're,2484,lies,2048,marilyn,487,monroe,150,confusion,130,theyre,59,no-one,28,,,,,,,,,,
113,sleep,27088,can't,19942,tired,4782,ugh,2542,insomnia,1098,sucks,546,grr,243,grrr,229,reverse,173,grrrr,129,night's,92,overrated,86,snoring,84,nyquil,48,restless,48,refuses,37,,,,,,,,
114,attention,14968,pay,7064,paying,2398,span,1247,giving,1161,simply,762,paid,708,brought,692,seeking,679,detail,481,notice,478,personality,457,tis,441,desperately,429,deserves,380,affection,371,whore,289,mention,287,crave,233,repeat,232
115,plans,18154,making,4225,future,2313,ruined,2143,lord,1595,harm,1314,plan,786,changed,604,ruin,513,turns,418,cancelled,415,arm,398,literally,373,cancel,360,laid,339,ruins,296,ruining,290,planned,288,destroy,268,canceled,240
116,im,31112,ill,7192,dont,6769,ive,3755,cuz,1820,iv,1305,id,1148,havent,739,youll,418,couldnt,334,alot,319,whos,296,isnt,262,itll,256,coz,169,dieing,150,cus,122,heres,86,tomarrow,68,alll,55
117,christmas,27477,tree,14526,lights,4069,putting,2691,decorations,2308,xmas,2179,decorating,1874,spirit,1388,holiday,1316,decorate,957,decorated,945,presents,769,trees,534,holidays,504,carol,489,x-mas,388,tradition,278,lighting,251,elf,234,underneath,201
118,pokemon,7500,playing,5431,wii,3944,play,2534,ds,2533,fit,1707,nintendo,1364,games,1322,mon,995,legend,942,cards,820,played,584,trade,562,sports,519,version,426,ash,402,original,358,shiny,349,playin,349,master,343
119,result,6534,quizzes,3957,:/,3574,aid,3244,personality,2220,http,2157,referrals,2110,heroku,2002,quizme,2001,quiz,1318,character,976,george,909,results,603,irony,285,fits,245,chase,245,tests,232,decade,209,creative,198,accurate,198
120,thing,8037,amazing,7162,world,6945,you're,5485,there's,4325,change,4079,face,3863,smile,3214,girl,2643,stops,2161,awhile,1579,stares,1198,ar,891,coz,413,smiling,257,amazin,167,importantly,91,compliment,78,tail,78,scale,75
121,matter,20066,doesn't,13392,matters,4342,person,3184,care,2191,doesnt,1926,fact,1709,opinion,1433,realize,788,situation,748,count,705,meant,600,important,560,someone's,376,cares,324,painful,297,person's,231,distance,184,opinions,172,concern,171
122,minutes,13569,ten,8636,years,3165,percent,3126,twenty,2944,thirty,1934,seconds,1501,eleven,1466,fifteen,1392,hundred,1136,minute,942,spent,864,twelve,859,fifty,678,pleasure,585,skill,560,o'clock,431,sixteen,231,literally,222,spare,217
123,family,34676,friends,5855,reunion,3878,guy,3449,members,2547,member,1683,addition,1010,extended,827,newest,820,abc,519,visiting,461,gathering,430,cousin,414,modern,377,cookout,326,relatives,295,host,228,outing,198,tradition,180,bbq,177
124,comment,11208,words,10758,status,6991,note,5768,wake,5430,copy,5287,play,5020,paste,4759,jail,4717,fair,4293,sport,2850,harder,1970,woke,1415,ward,1377,police,734,reads,508,thin,344,egg,249,responses,195,yourstatus,38
125,clean,24993,house,14760,room,8952,mess,3677,cleaning,3214,messy,1694,laundry,1417,cook,801,fresh,783,tidy,680,apartment,644,cleaned,544,pack,454,helping,442,organize,423,kitchen,371,organized,359,dirty,307,cleanin,289,neat,260
126,leave,15666,memory,4162,remember,3137,message,2929,beep,2752,doesn't,2193,matter,2001,lane,1885,knew,1273,comment,1108,reasons,620,empty,400,film,367,tone,276,legacy,100,runner,76,records,71,responses,70,horn,53,,
